Time Stamp,Total USD,%ETH
7/9/17 11:30,48106.64768,81.21574857
7/9/17 12:30,#ERROR!,#ERROR!
7/9/17 13:30,48181.32058,81.238832
7/9/17 14:30,#ERROR!,#ERROR!
7/9/17 15:30,#ERROR!,#ERROR!
7/9/17 16:30,48450.36063,81.2483031
7/9/17 17:27,48460.17039,81.2364841
7/9/17 18:30,47938.81678,81.472344
7/9/17 19:30,47579.33773,81.52662885
7/9/17 20:30,47641.02011,81.50143924
7/9/17 21:30,#ERROR!,#ERROR!
7/9/17 22:30,47611.08366,81.47563354
7/9/17 23:30,47386.36173,81.54356126
7/10/17 0:30,#ERROR!,#ERROR!
7/10/17 1:23,47575.42566,81.66027658
7/10/17 2:30,#ERROR!,#ERROR!
7/10/17 3:30,#ERROR!,#ERROR!
7/10/17 4:30,47398.84093,81.3223488
7/10/17 5:30,#ERROR!,#ERROR!
7/10/17 6:30,#ERROR!,#ERROR!
7/10/17 7:30,45275.15706,81.64599327
7/10/17 8:30,#ERROR!,#ERROR!
7/10/17 9:30,#ERROR!,#ERROR!
7/10/17 10:30,#ERROR!,#ERROR!
7/10/17 11:30,#ERROR!,#ERROR!
7/10/17 12:30,43495.63548,82.8148215
7/10/17 13:30,#NAME?,#NAME?
7/10/17 14:30,43098.08733,82.80633012
7/10/17 15:30,#ERROR!,#ERROR!
7/10/17 16:25,42393.84073,82.63072435
7/10/17 17:30,#ERROR!,#ERROR!
7/10/17 18:30,38194.57367,82.61150351
7/10/17 19:30,42218.42082,83.14746695
7/10/17 20:30,#ERROR!,#ERROR!
7/10/17 21:30,40503.27618,82.70614556
7/10/17 22:26,39457.84421,82.82402517
7/10/17 23:30,#ERROR!,#ERROR!
7/11/17 0:28,39123.8264,82.71180127
7/11/17 1:25,37544.88416,82.70937269
7/11/17 2:32,35241.94375,83.36306344
7/11/17 3:30,36521.08816,83.33261706
7/11/17 4:30,36521.08816,83.33261706
7/11/17 5:30,38413.57084,82.75231695
7/11/17 6:30,38803.85283,82.63380404
7/11/17 7:30,#ERROR!,#ERROR!
7/11/17 8:30,40736.41337,82.52303238
7/11/17 9:30,#ERROR!,#ERROR!
7/11/17 10:30,#NAME?,#NAME?
7/11/17 11:22,39517.60334,82.52486929
7/11/17 12:22,39644.24585,82.49682745
7/11/17 13:22,38640.31454,82.30610682
7/11/17 14:22,37670.13669,82.73672634
7/11/17 15:22,37933.07891,82.93605075
7/11/17 16:30,#ERROR!,#ERROR!
7/11/17 17:30,#ERROR!,#ERROR!
7/11/17 18:25,38447.7373,82.6762794
7/11/17 19:30,#ERROR!,#ERROR!
7/11/17 20:22,37529.50657,82.83887809
7/11/17 21:30,36933.66844,83.2332032
7/11/17 22:30,37697.46144,82.95977396
7/11/17 23:30,#ERROR!,#ERROR!
7/12/17 0:30,#ERROR!,#ERROR!
7/12/17 1:30,38730.14492,83.13189049
7/12/17 2:30,#ERROR!,#ERROR!
7/12/17 3:30,#ERROR!,#ERROR!
7/12/17 4:30,#ERROR!,#ERROR!
7/12/17 5:30,#ERROR!,#ERROR!
7/12/17 6:30,38730.14492,83.13189049
7/12/17 7:30,#ERROR!,#ERROR!
7/12/17 8:30,#ERROR!,#ERROR!
7/12/17 9:30,#ERROR!,#ERROR!
7/12/17 10:30,40870.64663,82.3668426
7/12/17 11:30,#ERROR!,#ERROR!
7/12/17 12:23,42184.97803,82.35401403
7/12/17 13:22,42924.91981,82.64328236
7/12/17 14:30,44028.51593,82.72139787
7/12/17 15:27,43547.91283,82.70437007
7/12/17 16:27,42222.34794,82.60628046
7/12/17 17:22,43012.04776,82.7905915
7/12/17 18:22,43911.53976,82.73199034
7/12/17 19:22,44686.3107,82.54907683
7/12/17 20:22,43785.64611,82.70753803
7/12/17 21:22,44008.16923,82.66208707
7/12/17 22:22,44797.3357,82.59230728
7/12/17 23:30,#ERROR!,#ERROR!
7/13/17 0:30,#ERROR!,#ERROR!
7/13/17 1:25,42524.78758,82.02706578
7/13/17 2:25,41956.68029,82.58869057
7/13/17 3:30,#ERROR!,#ERROR!
7/13/17 4:30,#ERROR!,#ERROR!
7/13/17 5:30,41400.16492,82.15689407
7/13/17 6:30,41663.11335,82.15822729
7/13/17 7:30,#ERROR!,#ERROR!
7/13/17 8:30,41160.58029,82.24318385
7/13/17 9:30,#ERROR!,#ERROR!
7/13/17 10:30,40873.888,82.46965892
7/13/17 11:30,39778.13702,82.50467943
7/13/17 12:30,39552.86041,82.50193471
7/13/17 13:30,#ERROR!,#ERROR!
7/13/17 14:22,39224.95919,82.58553756
7/13/17 15:30,39627.13754,82.62016831
7/13/17 16:30,#ERROR!,#ERROR!
7/13/17 17:29,40792.68413,82.8187929
7/13/17 18:30,#ERROR!,#ERROR!
7/13/17 19:30,40701.16098,82.74682798
7/13/17 20:30,#ERROR!,#ERROR!
7/13/17 21:30,#ERROR!,#ERROR!
7/13/17 22:30,39443.44909,82.90664465
7/13/17 23:28,39341.82136,83.00638816
7/14/17 0:25,39583.571,82.9927763
7/14/17 1:28,39515.52561,82.87258355
7/14/17 2:30,#ERROR!,#ERROR!
7/14/17 3:28,39437.63963,82.95175978
7/14/17 4:30,#ERROR!,#ERROR!
7/14/17 5:30,#NAME?,#NAME?
7/14/17 6:27,39395.88613,83.04658848
7/14/17 7:30,#NAME?,#NAME?
7/14/17 8:30,#ERROR!,#ERROR!
7/14/17 9:30,37497.69062,82.90232954
7/14/17 10:30,37807.13288,83.08267525
7/14/17 11:30,36805.95597,82.98491908
7/14/17 12:30,36521.9672,83.44290079
7/14/17 13:30,#ERROR!,#ERROR!
7/14/17 14:30,#ERROR!,#ERROR!
7/14/17 15:30,#ERROR!,#ERROR!
7/14/17 16:30,#ERROR!,#ERROR!
7/14/17 17:30,#ERROR!,#ERROR!
7/14/17 18:30,38348.45197,83.7187078
7/14/17 19:30,38150.28592,83.63204516
7/14/17 20:30,37895.67848,83.56068873
7/14/17 21:30,36741.91565,83.59739312
7/14/17 22:30,36499.45257,83.50227261
7/14/17 23:30,#ERROR!,#ERROR!
7/15/17 0:30,#ERROR!,#ERROR!
7/15/17 1:30,36324.359,83.70984749
7/15/17 2:30,36200.51207,83.69708307
7/15/17 3:30,#ERROR!,#ERROR!
7/15/17 4:30,35660.26898,83.7251963
7/15/17 5:30,35817.59914,83.8149736
7/15/17 6:30,#ERROR!,#ERROR!
7/15/17 7:30,34902.65468,83.84572425
7/15/17 8:30,#ERROR!,#ERROR!
7/15/17 9:30,#ERROR!,#ERROR!
7/15/17 10:30,33655.35088,83.50648475
7/15/17 11:30,35147.82943,83.80961415
7/15/17 12:30,#ERROR!,#ERROR!
7/15/17 13:25,35101.11069,83.56655087
7/15/17 14:30,#ERROR!,#ERROR!
7/15/17 15:30,34309.03152,83.42641918
7/15/17 16:26,34034.08973,83.69228111
7/15/17 17:30,34069.81155,83.73195511
7/15/17 18:30,33387.79693,83.75391688
7/15/17 19:30,#ERROR!,#ERROR!
7/15/17 20:30,#ERROR!,#ERROR!
7/15/17 21:30,32900.23123,83.7563952
7/15/17 22:30,32705.15365,83.37773179
7/15/17 23:30,#ERROR!,#ERROR!
7/16/17 0:30,#ERROR!,#ERROR!
7/16/17 1:30,#ERROR!,#ERROR!
7/16/17 2:30,#ERROR!,#ERROR!
7/16/17 3:30,30505.08669,82.86976828
7/16/17 4:30,#ERROR!,#ERROR!
7/16/17 5:30,29140.64914,82.82097582
7/16/17 6:30,#ERROR!,#ERROR!
7/16/17 7:30,#ERROR!,#ERROR!
7/16/17 8:30,27413.94348,83.1324404
7/16/17 9:30,27873.0536,83.01662678
7/16/17 10:30,#ERROR!,#ERROR!
7/16/17 11:30,29594.29157,83.43465051
7/16/17 12:25,31611.80896,83.75858723
7/16/17 13:30,29826.77509,83.41862565
7/16/17 14:30,#ERROR!,#ERROR!
7/16/17 15:30,29516.52713,83.34890819
7/16/17 16:30,29136.70776,83.14172223
7/16/17 17:30,29836.25332,83.35776285
7/16/17 18:30,#ERROR!,#ERROR!
7/16/17 19:30,#ERROR!,#ERROR!
7/16/17 20:32,31718.59675,83.41598842
7/16/17 21:30,#NAME?,#NAME?
7/16/17 22:30,#ERROR!,#ERROR!
7/16/17 23:30,#ERROR!,#ERROR!
7/17/17 0:30,32063.59696,82.88866239
7/17/17 1:30,#ERROR!,#ERROR!
7/17/17 2:30,#ERROR!,#ERROR!
7/17/17 3:30,34580.94496,82.68982322
7/17/17 4:30,#ERROR!,#ERROR!
7/17/17 5:30,#ERROR!,#ERROR!
7/17/17 6:30,#ERROR!,#ERROR!
7/17/17 7:30,#ERROR!,#ERROR!
7/17/17 8:30,#ERROR!,#ERROR!
7/17/17 9:30,#ERROR!,#ERROR!
7/17/17 10:30,#ERROR!,#ERROR!
7/17/17 11:30,#ERROR!,#ERROR!
7/17/17 12:30,#ERROR!,#ERROR!
7/17/17 13:30,#ERROR!,#ERROR!
7/17/17 14:30,34121.17955,82.19460431
7/17/17 15:30,#ERROR!,#ERROR!
7/17/17 16:30,#ERROR!,#ERROR!
7/17/17 17:30,#ERROR!,#ERROR!
7/17/17 18:30,#ERROR!,#ERROR!
7/17/17 19:30,37058.59574,82.22465996
7/17/17 20:30,35761.53723,82.17290263
7/17/17 21:30,#ERROR!,#ERROR!
7/17/17 22:30,36188.32165,82.23744768
7/17/17 23:30,#ERROR!,#ERROR!
7/18/17 0:30,#ERROR!,#ERROR!
7/18/17 1:30,#ERROR!,#ERROR!
7/18/17 2:30,#ERROR!,#ERROR!
